Language,I; independent; ,I; subjectverb concord; ,you; independent; ,you; subjectverb concord; ,he/she; independent; ,he/she; subjectverb concord; ,we; independent; ,we; subjectverb concord; ,bushelezi; mnandi,y'all; subjectverb concord; ,they; independent; ,they; subjectverb concord; ,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark; tree; ,flower,grass,rope,skin,meat,blood,bone,fat; n.; ,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,hunger,to drink,to eat,to bite,to suck,to spit,to vomit,to blow,to breathe,to laugh,to see,to hear,to know,to think,to smell,to fear,to sleep,to live,to die,to kill,to fight,to hunt,to hit,to cut,to split,to stab,to scratch,to dig,to swim,to fly,to walk,to come,to lie; bed; ,to sit,to stand,to turn,to fall,to give,to hold,to squeeze,to rub,to wash,to wipe,to pull,to push,to throw,to tie,to sew,to count,to say,to sing,to play,to float,to flow,to freeze,to swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,to burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp; knife; ,blunt; knife; ,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name,saliva
Sotho_Northern,nna,ke,wena,o,yena,o,rena,re,lena,le,ba,,bjô,bjôo,fano,falê,mang,ene; eng,kae,neng,bjang,se; kê,aohle,ntšhi; ngata,ngwê,mmalwa; nyane,mangwê,ntowe; nngwê,pêdi,tharo,nnê,tlhano,golo,lêlê; têlê,phara,koto,fala; fêtše,nyane,huswane,sêsane,ôtilê,mosadi,monna,semotho,ngwana,mogatša,monna,mma,papa; tatê,phôôfôlô,hlapi,nônyana,mpša,nta,nôga,seboko,sehlare; sephatô,letši; sekgwa,thupa,diênywa,pêu,lehlare,modu,lekgata,lebue,bjang,mogala,letlalô,nama,madi,lešapô,makhura,lee,lenaka,mosela,lefofa,moriri,hlôgô,tsêbê,leihlô; ihlô,nkô,molômo,leinô,leleme,nala,leoto; lwaô,moômo,khuru; lengwêlê; letôlô,letsôgô,lefêgô; phuka,lešôrô; mogôdu; mpa,dikatêng; mala,molala; thamo; throat; ,mokôkôtlô,letswêlê; sehuba,pelo,sebete,tlala,nwa,ja,loma,monya,tshwa,hlatša,foka; tšubutla,phefomola,sêga,bôna,kwa; utlwa,tseba,nagana,fofonêla,tšhabô,rôbala,phela,hwa,bolaya,lwa,tsoma,bêtha; betša; rwa; tia,bêtla; tswia; seta; carve; ,farola; fatokanya,hlaba,ngwapa; ngwara,êpa; nyafa,sêsa; tunta,fofa; ntši,sepela; tsamaya,tla,awêla; phomola; rest; ,itulêla,êma,hlabologa,wa,fa,swara,pitlêla,pikitla,hlape,hlakola,gôga; hlahla,sukumêtša,akga; phôša,bôfa; tlama,roka,bala,bolêla; re,êpêla,bapala,kôkôbala; phaphamala,êla,--,ruruga,letšatši,kgwêdi,nalêdi,mêêtse,pula,noka,letsha,lewatlê,letswai,lentswê,lehlabathe,lerole,mobu; lefase,leru,mogodi,legodimo,môya,lehlwa,lekgwa,muši,mollô,melôra,fiša,tsela,thaba,hubêdu,tala,sêhla,šwêu,so; ntsho,bošego,mohla,ngwaga; selemô; summer; ,futhumêla,serame,tlêtše,fsa,golo; tala; tšofa,tle,be; mpe,bodilê,ditšhila,ôtlologa,potokô,bogale,kubêga,borêlêdi,kôlôba,ômiša; ôma,nêpiša,gaufsi,kgolê,lagoja; lekubu,lengêlê,fa; ga,go; ka,na; nê,le; me; mme,ga; gê,gobane,lebitšô,
Sotho_Southern,nna,ke,wena,o,yona,o,rona,re,lona,le,bona,ba,ana; ena; enwa; eo; hona,aa; ale; ane; ano; bono; boo; ee; eno; hane; hono; hoo,mona; teng,ao; boo; eo,mang; ya,eng,kae,neng,jwang,ha; ka,bohle; hohle,ngata,bang,mmalwa,engwe,nngwe,pedi,tharo,nne,hlano,holo,lelele; telele,batsi,tenya,boima; pitla,nyane,kgutshwane; kgutshwanyane,tshesane,sesane,mosadi,monna,motho,ngwana,mohatsa; mosadi,mohatsa,mme,ntate,phoofolo,hlapi,nonyana,ntja,--,noha,seboko,sefate,moru; sekgwa,thupa,tholwana,peo,lehlaku,motso,lekgapetla,palesa,jwang,mohala,letlalo,nama,madi,lesapo,mafura,lehe,lenaka,mohatla,lesiba,moriri,hlooho,tsebe,leihlo,nko,molomo,leino,leleme,lenala,leoto,moomo,lengole,letsoho,lepheo,mpa,dikahare,molala,mokokotlo,letswele; sefuba,pelo,sebete,,nwa,ja,loma,monya,tshwela,hlatsa,fefola,phefumoloha,tsheha,bona,utlwa,tseba,nahana,fofonela,tshaba,robala,phela,shwa,bolaya,lwana,tsoma,bata; betsa; otla; shapa,phoma; seha; seta; carve; ,arohana; arola; petsoha,hlaba,ngwapa,epa; tjheka,sesa,fofa,tsamaya,tla,botha; lala; phomola; rest; ,dula,ema,reteleha,wa,fa,tshwara,tlhotla,pikitla,hlatswa,hlakola,hula; tosola,susumetsa,akga,fasa; tlama; tsala,roka,bala,bolela; re; tjho,bina; tsanyaola,bapala,phaphamala; sesa,phalla,--,ruruha,letsatsi,kgwedi,naledi,metsi,pula,noka,letsha,lewatle,letswai,lejwe,lehlabathe,lerole,mobu; lefatshe,leru,mohodi,lehodimo,moya,lehlwa,leqhwa,mosi,mollo,molora,besa; tjha; tjhesa; tuka,tsela,thaba,fubedu,tala,sehla,sweu,tsho,bosiu,mohla,selemo; ngwahola; last year; ,futhumetse,serame,tletse,tjha,holo,tle,be; mpe,bodileng,ditshila,otlolohileng,tjhitja,bohale; tjhora,nthithi,boreledi,metsi,omisa; oma,nepisa,haufi; pela,hole,lokisa,leqele,--,ka,na,le; mme,ha,hobane,lebitso,
Tswana,nna,kene; ke,wena,o,yona,o,rona,re,lona,lo; le; go,ba; di,ba,e; jo; yo,eo; gore; ka,--,teng,mang,mang; eng,kae,leng; fa,kae; jang,ga,tsotlhe,gontsi,--,--,--,nngwe,pedi,tharo,nne,tlhano,golo,--,--,--,--,nnye,--,--,--,mosadi,monna,motho,ngwana,--,--,mme; mma,rre,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,nwa,ja,--,--,--,--,--,--,--,bona,--,itse,akanya,--,--,robala; robetse; sleep; slept; ,--,--,--,--,--,--,--,--,--,--,--,--,--,tsamaya,la,--,--,--,fapogele,letlhafula,--,--,--,--,--,--,--,--,--,--,--,--,re,--,--,--,--,--,--,--,--,--,mêtsi,--,--,--,--,--,--,--,--,lefatshe,--,--,legodimo,--,--,--,mosi,molelo,--,--,tsela,--,--,--,--,--,--,bosigo,lesatsi,ngwaga,--,--,--,--,--,lang,--,--,--,tlhamalela,--,--,--,--,--,--,--,--,--,mojeng; right; rightward; ,--,le; mo; par; vers,mo; par,le; par; vers,le; re,--,--,leina,
Kikuyu,niĩ,ndi,wee,ũ,we,ũ,ithuĩ,tũ,inyuĩ,,o acio,,uyu,eyo,haha; gũkũ,harĩa; hau; ho; kũrĩa; kũu; kuo,nũ; ũ,nĩkĩ,kũ; ha,rĩ,atĩa,ĩhĩ; no; aca,ciothe,ĩngi,--,nini,ngĩ,ĩmwe,igĩrĩ,ithatũ,inya,ithano,nene,ndaya; raya,athamia; ariĩ,kũnora; tungu,ritũ,nini; nyinyi,nguhĩ; kuhĩ,cecenia; ceke,hinja; ceke,mũtuma; mũndũ mũka,mwanake; mũndũ mũrũme,mũndũ,mwana,mũka,mũrũme,maitũ,baba; awa,nyamũ,tega; kĩũngũyũ,nyoni,ngui; ngitĩ,ndaa,nyamũ yathĩ,--,mũtĩ,kĩrĩti; mũtitũ,mũkuanju,itunda,mbegũ,ithangũ,mũri,ikoni,ihũa,muti; mũmera; nyeki,--,gĩkonde; ikoro,nyama,thakame,ihĩndĩ,maguta,itumbĩ,muguongo; rũhĩa,mutingoe; mũcuthi,ruoya,njuĩrĩ,mũtwe; kĩongo,gũtũ,riitho,iniũrũ,kanua,igego,rũrĩmĩ,rwara,kũgũrũ; ikinya,kũgũrũ,iru,guoko,ithagu,nda,--,ngingo,mũgongo,nyondo,ngoro,ini,,nyua,rĩa,rũma,onga,tua mata,tahika,huha,hũmũka; huhia,theka,ona,igua,menya,gwĩciria; ĩciria,kununga,ĩtigĩra,koma,tũũra,kua,ũraga,rũa,guĩma,hurira,tinia; acũhia; una ngu,atũra,theeca,kũrũta,cimba; enja,--,ũmbũka,ceera; thĩil,ũka; ingĩra,koma,ikara,rũgama,inamia; thiũrũrũka; garũra; cenjia,gwa,nengera; he,kumbata; nyita,kama; kuhiha; squeeze out; ,kuhura,thambia,huura; giria,gucia; kururia,gũtindika; tindĩka,gũithia; ikia,oha,tuma,gera,ura; ĩra,ina,thaka,--,therera,--,imba,riũa,mweri,njata,maĩ,mbura,rũũĩ,iria,--,mũnyũ; cumbĩ,ihiga,mũthanga,rũkũngũ; rubiri,tĩri; thĩ; gĩthaka; mũgũnda,matu; itu,--,igũrũ; utheri; light; sky; ,rũhuho,--,--,ndogo,mwaki,--,cina,njĩra,kĩrĩma,--,--,--,njeru; erũ,nduma njirũ; irũ,ũtukũ,mũthenya,mwaka,oto,heho,ũra,njerũ,ngũru; kũrũ,ega,ũru,buthu,gĩko,rũnga,thiũrũrũka,ũhĩga,ritũ; nditũ,nyoroka,ihũga; conjorira,nyũmũ; ũmũ,--,hakuhĩ,haraya,ũrio,ũmotho; gũtigara; be left over; ,--,--,na,na,ongorũo; akorũo; korũo; kana,amu; nĩ gũkorũo; nĩ ũndũ; tondũ,rĩĩtwa,
Zulu,mina,ngi,wena,u,yena,u,thina,si,nina,ni,bona,ba,lo; leli; lesi; le; lolu; lobu; lokhu,lowo; lelo; leso; leyo; lolo; lobo; lokho,lapha,lapho,ubani,ni; yini,phi,nini,kanjani; ngani,a; akekho; abekho,nke,ningi,nye,mbalwa; ncane,nye,dwa; nye,bili,thathu,ne,hlanu,khulu,de,banzi,qinile; gqinsi,nzima,ncane,fuphi,ncane; msweswana,ondile,umfazi,indoda; umlisa,umuntu,umntwana,umka; inkosikazi,umyeni; indoda,umama,ubaba,isilwane,inhlanzi; ufishi,inyoni,inja,intwala,inyoka,isibungu; umsundu,isihlahla; umuthi,ihlathi,induku; uthi,isithelo,inhlamvu; imbewu,ikhasi; iqabi,impande; umsuka,igxolo,imbali,utshani,intambo,isikhumba,inyama,igazi,ithambo,amafutha,iqanda,uphondo,umsila,uphaphe,unwele,ikhanda,indlebe,iso; ihlo,ikhala,umlomo,izinyo,ulimi,uzipho,unyawo,umlenze,idolo,isandla,iphiko,isisu,ithumbu,intamo; umqala; throat; ,umhlane,ibele; isifuba,inhliziyo,isibindi,indlala,phuza,dla,luma,munca; ncela; munya,phimisa,phalaza,vunguza,phefumula,hleka,bona,zwa,azi,cabanga,nuka,esaba; saba,lala,phila,fa,bulala; fisa,lwa,zingela,betha; gadla; shaya,sika; nquma,dabula,gwaza,klwebha,mba,bhukuda; hlamba,ndiza,hamba,za,lala; cambalala,hlala,sukuma; ma,jika; guquka; phenduka,wa,nika; nikeza; pha,phatha; bamba,cindezela,hlikihla,geza; hlamba,sula,donsa,sunduza,phosa,bopha,thunga,bala,thi,cula; hlabelela; huba,dlala,ntaza,gobhoza,nquma; qanda,vuvukala,ilanga,inyanga,imbasa; inkanyezi,amanzi,imvula,umfula,ichibi,ulwandle,itswayi; usawoti,itshe,isihlabathi,uthuli,inhlabathi; umhlaba,ifu; iyezi,inkungu,izulu,umoya,iqhwa,iqhwa,intuthu; umusi,umlilo,umlotha,sha; vutha,indlela; umgwaqo; umgwaqana,intaba,bomvu,luhlaza,liphuzi; ncombo,mhlophe,mnyama,ubusuku,ilanga; umuhla; usuku,unyaka,fudumele,makhaza,gcwele,sha,dala,hle,bi,bolile; bi,ngcolile,qondile,yindilinga; yimbulunga,bukhali,buthuntu,bushelezi; mnandi,manzi; nethile,omile; oma,lungile,eduze; seduze,kude,kwesokudla; ukunene,kwesokunxele; ubunxele,e; o; ku; nga,e; o; ku; nga,na; kanye na; nga,na; futhi,uma,ngoba; njengoba; njengokuba,igama; ibizo,
Ndebele_Zimbabwe,mina,ngi,wena,u,yena,u,thina,si,lina,li,bona,ba,lo; leli; lesi; le; lolu; lobu; lokhu,lowo; lelo; leso; leyo; lolo; lobo; lokho,lapha,lapho,ubani,ni; yini,phi,nini,njani; ngani,a; akekho; abekho,nke,ningi,nye,lutshwane; mbalwa; ncane,nye,dwa; nye,bili,thathu,ne,hlanu,khulu,de,banzi,qatha,nzima,ncane,mfitshane,ncane; msweswana,cakile,umfazi,indoda; umlisa,umuntu,umntwana,umfazi; umka; inkosikazi,umyeni; indoda,umama,ubaba,inyamazana,inhlanzi,inyoni,inja,intwala,inyoka,isibungu; umsundu,isihlahla; umuthi,iganga,isigodo; induku; uthi,isithelo,inhlanyelo,inhlamvu,impande; umsuka,ixolo,iluba,utshani,intambo,isikhumba,inyama,igazi,ithambo,amafutha,iqanda,uphondo,umsila,usiba,inwele,ikhanda,indlebe,ilihlo,ikhala,umlomo,izinyo,ulimi,uzipho,unyawo,umlenze,idolo,isandla,iphiko,isisu,ithumbu,intamo; umqala; throat; ,umhlane,ibele; isifuba,inhliziyo,isibindi,indlala,natha,dla,luma,munca; ncela; munya,khafula,phalaza,vunguza,phefumula,hleka,bona,zwa,azi,cabanga,nuka,esaba; saba,lala,phila,fa,bulala; fisa,lwa,zingela,betha; gadla; tshaya,sika; quma,dabula,gwaza,nwaya,mba; gebha,bhukutsha,phapha,hamba,buya,lala; cambalala,hlala,sukuma; ma,guquka; phenduka,wa,nika; nikeza; pha,phatha; bamba,cindezela,hlikihla,geza; hlamba,sula; hlikihla,donsa,fuqa,phosa,bopha,thunga,bala,thi,hlabelela,dlala,--,gobhoza,nquma; qanda; tshaza,vuvuka,ilanga,inyanga,inkanyezi,amanzi,imvula,umfula,ichibi,ulwandle,itswayi; isawudo,ilitshe,inhlabathi,uthuli,inhlabathi; umhlaba,ifu; iyezi,inkungu,isibhakabhaka,umoya,iqhwa,iqhwa,intuthu; umusi,umlilo,umlotha,tsha; vutha,indlela; umgwaqo; umgwaqana,intaba,bomvu,luhlaza,thanga,mhlophe,mnyama,ubusuku,ilanga; umuhla; usuku,unyaka,fudumele,makhaza,gcwele,ntsha,dala,hle,bi,bolile; bi,ngcolile,qondile,yindilinga; yimbulunga,bukhali,buthuntu,butshelezi; mnandi,manzi; nethile,omile; oma,lungile,eduze; seduze,katshana,kwesokudla; ukunene,kwesokunxele; ubunxele,e; o; ku; nga,e; o; ku; nga,la; kanye la; lo; nga,la; futhi,nxa,ngoba; njengoba; njengokuba,igama; ibizo,
Swati,mine,ngi,wena,u,yena,u,tsine,si,nine,ni,bona,ba,--,--,--,--,--,--,kuphi,--,--,--,--,--,--,--,--,kunyé,kubili,kutsatfu,kune,kusihlanu,--,--,--,--,--,--,--,--,--,--,índvodza,umútfu,umntfwana,--,índvodza,máke,babé,sílwane,ínhlanti,ínyoni,--,--,--,--,síhlahla,--,--,sítselo,ínhlanyélo,lícémbe,--,--,ímbali,--,--,--,ínyama,--,--,--,--,--,--,--,lúnwéle,--,índlebé,--,líkhala,umlomo,--,--,lúgalo,lúnyawo,umlente,lídvolo,sándla,--,--,--,íntsamo,umhlaná,--,ínhlitíyo,--,,kúnatsa,--,--,--,--,--,--,--,kúhleka,kúfúna,--,kwáti,kucábanga,kúnuka,--,kúlála,kúphila,--,--,--,kútingéla,--,kúsíka,--,--,--,kúmba,kúhlamba,kúndiza,kúya; going; ,kúta,--,--,--,kújika,kúwa,kúníka,--,--,--,kúgeza,--,kúdvonsa,--,kúphonsa,--,kútfúnga,kúbala,--,kuhlábela,kúdlála,kúntanta,--,--,--,lílanga,ínyangá,ínkhanyéti,--,lítulu,umfula,líchibí,--,lútswáyi,lítje,--,--,--,lífu,--,sibhakábhaka,--,líchwa,líchwa,intfutfu,umlilo,--,--,indlela; umgwaco,íntsaba,bovú,--,--,umkhombe,mnyáma,--,lílanga,--,futfúmeta,bándza,--,--,--,hle,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Xhosa,mna,ndi,wena,u,yena,u,thina,si,nina,ni,bona,ba,lo; aba; le; eli; la; esi; ezi; olu; obu; oku,lowa; abaya; leya; eliya; lawa; esiya; eziya; oluya; obuya; okuya,apha,apho,ngubani,ni; ntoni,phi,ni,njani; kanjani,khange; a; nga,onke,ninzi,nye,balwa,mbi; nye,isinye; eyona,bini,thathu,ne,hlanu,khulu,de,banzi,nzinzilili,nzima,mncinane; ncinci,futshane,mxinwa,bhityile,inkosikazi,indoda; umlisela; young man; ,umntu,umntwana; usana,umfazi,umyeni,umama,ubawo; utata,isilwane,intlanzi,intaka,inja,intwala,inyoka,umsundulu,umthi,ihlathi,induku; uluthi,isiqhamo,imbewu,igqabi,ingcambu,ixolo,intyantyambo,ingca,intambo,isikhumba,inyama,igazi,ihleza; ithambo,amafutha,iqanda,uphondo,umsila,usiba,inwele,intloko,indlebe,iliso,impumlo,umlomo,izinyo,ulwimi,uzipho,unyawo,umlenze,idolo,isandla,iphiko,isisu,ithumbu,intamo; umqala; throat; ,umhlana,ibele; isifuba,intliziyo,isibindi,,ukusela; sela; phunga,tya,luma,munca,the,hlanza,bhudla; vuthuza,phefumla,hleka,bona; buka,va,azi,cinga,nuka,oyika,lala,phila,fa,bulala,lwa,zingela,betha,sika,krazuka; tyanda,gwaza; hlaba,phanda,grumba,dada,bhabha,hamba,za,xoka,hlala,ma,jika,wa,pha,bamba,bandezela; foca,dyobha;  gudla,coca; hlamba,sula,dontsa; tsala,dudula,gibisa; jula; phosa,bopha,thunga,bala,thi; tsho,cula,dlala,bhabhazela,--,nquma; tshaza,dumba,ilanga,inyanga,inkwenkwezi,amanzi,imvula,umlambo,ichibi,ulwandle,ityuwa,ilitye,isanti,uthuli,umthonyama; ihlabathi,ilifu,inkungu,izulu,umoya,ikhephu,umkhenkce,umsi,umlilo,uthuthu,vutha,indlela,intaba,bomvu,luhlaza,lubhelu; mthuba; tyheli,mhlophe,mnyama,ubusuku,umhla; imini; usuku,umnyaka,fudumeleyo,banda,gcwele,tsha,dala,mnandi,bi,bolile,nkone; mdaka,ngqala,mbumbulu,bukhali; tsolo,buthuntu,--,manzi; nqum,omelela; oma,nyanisile,kufuphi,kude,nene,nxele,--,--,na; ne; no; kunye,kwaye,ukuba,kaloku; ngokuba,igama,
Kongo,mono,ngi,nge,u,yandi,u,tu,,lu,,be,,ki,kina,vava; eva; kuku; eku,vana; kuna,nani,nki,kweyi,--,bwe; bweyi,ka...ko,onso,bidi,--,n'ke; ndwêlo; fyôti,n'kaka,mosi; imosi,zôle,tatu,ya,tânu,nene,nda,--,--,zitu,fyôti; ndwêlo; n'ke,nkufi,--,--,nkento; ndumba,bakala,muntu,mwana,n'kento; busi,bakala,ngudi,sé; tata,bulu,mbizi,nuni,mbwa,nyanzi,nioka,ngambu,m'ti,mfinda,bota,mbutu; mbuma,nginga,kaya,mwanzi,bâla,--,tîti,m'singa,m'kanda,m'suni,menga,visi,mâzi,dîki; diaki,mpoka,m'kila,nsala,nsuki,m'tu,kutu,disu,m'zunu,m'nwa,dinu,ludimi,nzala,kulu; ntambi,kulu,--,kôko,ve,vumu,m'dia,nsîngu,nima,ntulu,mbundu; m'tima,--,,nwa,kudia,tatika,--,--,luka,fula,fulumuna,seva,mona,wa,zaya; zaba,yinda; banza,--,--,lêka,zînga,fwa,gônda; vonda,nwana,konga; wela,zuba,zenga,bâsa; bâsula,--,kwanza,tima,--,--,diata; zieta,kuiza,lêka; lambalala,vuanda,telema; sikama,baluka,bwa,vana; va,simba,--,--,sukula,kusuna,benda,--,losa,--,--,tanga,ta; tela,yimbila,sakana,--,kukula,--,vimba,ntangu,ngonda,ntetembwa,maza,mvula,m'koko; nzadi; n'to,zanga,m'bu,mungwa,tadi,zielo,--,n'toto,tuti,dime,zulu,mupepe,mvula mpembe,--,mwisi,tiya,bombe,vya,nzila,mongo,mbwaki,--,--,mpêmbe,ndômbe,mpimpa,lumbu,mvula,tiya; kiungila,kiozi; nzizi,zala,mpa,ntama; nkulu,mbote,mbi,bola,mvindu,singama,vindumuka,--,--,--,bola,yuma,--,mbela,ntama; ntaku,lubalkala,lumonso,ku; kuna,mu,ye,ye,vo,kadi,nkumbu; zina,
Lingala,ngáí,na,yó,o,yé,a; e,bísó,to,bínó,bo,banga,ba; e; i,óyo,wâná,áwa,kúná; wâná,náni,níni,wápi,tángo,bóní,... tɛ́,nyɛ́; tû,míngi,bɔ̌kɔ́,mɔkɛ́mɔkɛ́,mosúsu; súsu,mɔ́kɔ; ɔ́kɔ,míbalé; íbalé,mísáto; ísáto,mínei; ínei,mítánɔ; ítánɔ; mpáta,monɛ́nɛ; nɛ́nɛ,monɛ́nɛ; nɛ́nɛ; laí,laí,monɛ́nɛ; nɛ́nɛ,bozitó; kiló; molito,mokɛ́; kɛ́,mokúsé; kúsé,mokɛ́; kɛ́,mokɛ́; kɛ́,mwǎsí,mobáli,moto,mwǎna,bolóngai; mwǎsí,bolóngani; mobáli,mamá,tatá; papá,nyama,mbísi,ndɛkɛ,mbwá,lonsili,nyóka,mpambó; mósɔ́pi; limpiká,nzeté; mweté,zámba,nzeté,mbuma,nyǎ; mbóto; bɔpɔ́,nkásá,ntína,lomposo,fulɛ́lɛ; lómbé,litíti,nsi nga; moniɔlɔ́lɔ; likósi,lomposo,monsuni,makilá,monkúwa,mafúta,likeí; líki,liséké; boséba,mokɔndɔ́; mokíla,lonsálá,nsúki,motó,litói,líso,zólo,mɔnɔkɔ,líno,lolému,linzáka,mopendé; lokolo,lokolo,libɔ́lɔ́ngɔ́; libɔ́ngɔ́,lobɔ́kɔ,lipapú,libumu,nsɔpɔ́,nkíngó,mokɔngɔ,ntólo,motéma,libale,,mɛlɛ,lía,swâ,nyúnya; núnga,bwáka nsɔ́i,sánza,pémela; pɛpɛ,péma,sɛkɛ,mɔ́nɔ,yóka,yéba,bánza; kanisa,núsa,bánga,lála,vánda,kúfa,boma,bɛ́tɛnɛ; bunda,bengana,bɛ́tɛ,kátakata; káta,pasola,--,kóta; nyaka; kpaka; kpala,tímola,nyanya; túnga,pimbwa,támbola,yâ; yáa; úta,lálisana,vánda; kisa,lamuka; télema,balula,kpâ,pésa; kaba,kamata,kangisa,bísa,sukola,pangwisa,bénda,tɔ,bwáka,kanga; zínga; línga,sɔnɔ,tánga,loba,yémba,sakana; sana,tetwa; tepa,--,--,vímba,mói,sánzá,monzɔ́tɔ,mái,mbúla,mái; ebale,etíma; nzálé,mbú,móngwa; mókpa,libángá,zɛ́lɔ,putulú,mabelé,lipata,londendé,likoló,mompɛpɛ,--,--,mólinga,mɔ́tɔ,putulú,pela; zíka,balabála; nzɛlá,ngómbá,táné,bésu,táne,mpɛ́mbɛ,molílí; índo,butú,mokɔlɔ; mói,mbúla; mobú,tɔkɔ,mpíɔ,má; mɛké,sika,kala,kitɔ́kɔ; malámu,mabé,pɔlɔ,bébisa,alimá,kílíkílí,pela,túnú,patátálú; sɛ́lisɛ́li,pɔlɔ,kauka,alimá; malongá; sémba; sɛló,mpɛmbɛ́ni,mosíká,mobáli,mwásí,o; na,na káti; o ntéi,na,mpé,sɔ́kɔ́; sɔ́kí,zambí,nkómbó,
