Language,Native Name,Dialect,L1 Speakers,L2 Speakers,Countries Spoken,Gutherie zone,Glottolog classfication
Mbundu,Umbundu,South,4000000,,Angola,,
Mbundu,Kimbundu,North,3000000,,Angola,,
Kongo,Kikongo,,600000,,Angola,,
Ovambo,Oshiwambo,,500000,,Angola,,
Luvale,Chiluvale,,500000,,Angola,,
Chokwe,Chichokwe,,500000,,Angola,,
Tswana,Setswana,,1600000,,Botswana,,
Kalanga,TjiKalanga,,150000,,Botswana,,
Rundi,Kirundi,,10000000,,Burundi,,
Swahili,Kiswahili,,14000000,,Burundi,,
Beti,,,1700000,,Cameroon,,
Beti,,Bulu,900000,,Cameroon,,
Beti,,Ewondo,600000,,Cameroon,,
Beti,,Fang,120000,,Cameroon,,
Beti,,Mengisa,,,Cameroon,,
Beti,,Eton,60000,,Cameroon,,
Beti,,Bebele,30000,,Cameroon,,
Basaa,,,230000,,Cameroon,,
Duala,,,350000,,Cameroon,,
Mbati,,,60000,,Central African Republic,,
Aka,,,30000,,Central African Republic,,
Pande,,,9000,,Central African Republic,,
Ngando,,,5000,,Central African Republic,,
Ukhwejo,,,NULL,,Central African Republic,,
Kako,,,NULL,,Central African Republic,,
Mpiemo,,,NULL,,Central African Republic,,
Bodo,,,NULL,,Central African Republic,,
Kari,,,NULL,,Central African Republic,,
Shingazija,,,NULL,,Comoros,,
Shindzuani,,,NULL,,Comoros,,
Shimwali,,,NULL,,Comoros,,
Lingala,,,2000000,7000000,DRC,,
Luba,Tshiluba,Kasai,6500000,,DRC,,
Kituba,,,4500000,,DRC,,
Kongo,Kikongo,,3500000,,DRC,,
Luba,Kiluba,Katanga,1500000,,DRC,,
Songe,Lusonge,,1000000,,DRC,,
Nande,Kinande,,1000000,,DRC,,
Tetela,Otetela,,800000,,DRC,,
Yaka,Kiyaka,,700000,,DRC,,
Shi,,,700000,,DRC,,
Yombe,Kiyombe,,670000,,DRC,,
Lele,Bashilele,,26000,,DRC,,
Beti,,Fang,300000,,Equatorial Guinea,,
Bube,,,40000,,Equatorial Guinea,,
Swazi,Siswati,,1000000,,Eswatini,,
Baka,,,,,Gabon,,
